method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
pcgrad,0.0,0.04875,0.00043,21.28194,0.57862,0.04778,11.79513,0.00097,70.0
wdro,0.0,0.04896,0.00049,21.00808,0.85084,0.04852,18.13449,0.00044,70.0
fpto,0.5,0.0495,0.00057,22.09557,0.79865,0.04892,16.51674,0.00058,70.0
fdfl-scal,0.5,0.06527,0.00359,112.17212,6.97184,0.06499,103.67305,0.00028,70.0
fplg,2.0,0.0735,0.00126,119.30872,5.59459,0.07319,110.97011,0.00031,70.0
saa,0.0,0.07537,0.00024,58.4983,3.64693,0.07503,54.26639,0.00034,0.0
mgda,0.0,0.07587,0.00135,120.00205,5.61615,0.07554,111.65341,0.00033,70.0
