method,lambda,train_reg_n_mean,train_reg_n_std,test_reg_n_mean,test_reg_n_std,train_fair_mean,test_fair_mean,test_fair_std,train_mse_mean,test_mse_mean,n_seeds,nan_steps,explode_steps
fdfl-scal,0.0,0.07463,0.00145,0.07494,0.00129,111.35018,119.6864,5.60477,394.3465,396.12545,5,0,0
fdfl-scal,0.5,0.06499,0.00345,0.06527,0.00359,103.67305,112.17212,6.97184,380.80362,382.5401,5,0,0
fdfl-scal,1.0,0.07257,0.00614,0.07309,0.00645,35.89495,46.20786,13.07013,269.9777,270.37297,5,0,0
fdfl-scal,2.0,0.07375,0.00231,0.07462,0.00325,11.89155,30.00934,2.10043,244.61805,243.65939,5,0,0
fplg,0.0,0.07503,0.00149,0.07536,0.00131,111.51367,119.85823,5.61189,394.90177,396.68207,5,0,0
fplg,0.5,0.07449,0.00141,0.07481,0.00127,111.36086,119.70235,5.60728,394.51395,396.29199,5,0,0
fplg,1.0,0.0739,0.00135,0.07422,0.00125,111.18713,119.52661,5.60178,394.10295,395.87834,5,0,0
fplg,2.0,0.07319,0.00131,0.0735,0.00126,110.97011,119.30872,5.59459,393.62852,395.40068,5,0,0
fpto,0.0,0.04957,0.00073,0.04999,0.00078,20.8259,23.93768,1.3727,138.3287,140.12448,5,0,0
fpto,0.5,0.04892,0.0006,0.0495,0.00057,16.51674,22.09557,0.79865,133.43097,135.3111,5,0,0
fpto,1.0,0.0488,0.00052,0.04956,0.00049,13.15223,20.98715,0.59336,131.60662,133.79463,5,0,0
fpto,2.0,0.04951,0.00039,0.05078,0.00058,3.07079,17.40013,3.37689,139.94249,145.63757,5,0,0
mgda,0.0,0.07554,0.00157,0.07587,0.00135,111.65341,120.00205,5.61615,395.28443,397.06668,5,0,0
pcgrad,0.0,0.04778,0.00051,0.04875,0.00043,11.79513,21.28194,0.57862,129.15362,131.62396,5,0,0
saa,0.0,0.07503,0.00023,0.07537,0.00024,54.26639,58.4983,3.64693,247.33362,249.17277,5,0,0
wdro,0.0,0.04852,0.0006,0.04896,0.00049,18.13449,21.00808,0.85084,129.14993,131.09432,5,0,0
