method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
fpto,0.0,0.04647,0.0004,1.61598,0.07656,0.04544,1.52851,0.00104,150.0
wdro,0.0,0.04678,0.00026,1.58304,0.10106,0.04563,1.50048,0.00115,150.0
pcgrad,0.0,0.0511,0.00036,0.3206,0.05099,0.04998,0.001,0.00112,150.0
fplg,2.0,0.07251,0.00191,0.01276,0.00708,0.07165,0.01318,0.00086,150.0
fdfl-scal,0.0,0.07426,0.00228,0.00614,0.00709,0.07344,0.00623,0.00082,150.0
saa,0.0,0.07555,0.00019,0.001,0.0,0.0747,0.001,0.00085,0.0
mgda,0.0,0.07604,0.00257,0.00513,0.00019,0.07526,0.00523,0.00078,150.0
