method,best_lambda,test_reg_n,test_reg_n_std,test_fair,test_fair_std,train_reg_n,train_fair,train_test_gap,early_stop_step
fpto,0.0,0.04647,0.0004,0.00671,0.00044,0.04544,0.00429,0.00104,150.0
pcgrad,0.0,0.04662,0.00048,0.00648,0.0005,0.04548,0.00355,0.00114,150.0
wdro,0.0,0.04678,0.00026,0.00618,0.00046,0.04563,0.00378,0.00115,150.0
fplg,2.0,0.07251,0.00191,0.01631,0.00014,0.07165,0.01223,0.00086,150.0
fdfl-scal,2.0,0.07426,0.00228,0.01637,0.00014,0.07343,0.01229,0.00082,150.0
saa,0.0,0.07555,0.00019,0.01082,0.00013,0.0747,0.00787,0.00085,0.0
mgda,0.0,0.07606,0.00259,0.01639,0.00014,0.07528,0.01232,0.00078,150.0
