task,method,seed,stage_idx,lambda,early_stop_enabled,early_stop_applied,early_stop_step,early_stop_metric,train_regret,train_fairness,train_pred_mse,val_regret,val_fairness,val_pred_mse,test_regret,test_fairness,test_pred_mse,stage_wallclock_sec,solver_calls_train,solver_calls_eval,decision_ms_train,decision_ms_eval,nan_or_inf_steps,exploding_steps,avg_grad_norm_combined,grad_norm_min,grad_norm_median,grad_norm_max,avg_cos_dec_pred,avg_cos_dec_fair,avg_cos_pred_fair,weight_norm,device,val_regret_normalized,test_regret_normalized,train_regret_normalized,val_regret_normalized_true,test_regret_normalized_true,train_regret_normalized_true,val_regret_normalized_pred_obj,test_regret_normalized_pred_obj,train_regret_normalized_pred_obj,train_decision_ms_eval,val_decision_ms_eval,test_decision_ms_eval,cumulative_wallclock_sec
medical_resource_allocation,fpto,55,0,0.0,0,0,70,,1000.4034552990461,19.86719972749738,132.32611788339884,,,,1030.0880363018541,24.139735002975705,133.51988545550066,2.807815200000732,140,4.0,521.2595000057263,17.515100001219253,0,0,56.00052225318095,23.07309304219212,50.92774563962798,120.25068139979665,0.0,0.0,0.5378597503311541,7.596447332980908,cpu,,0.14853566786443165,0.14687051940238488,,,,,0.12932612544860397,0.1280619886183112,6.301400000666035,0.0,11.213700000553217,2.807815200000732
medical_resource_allocation,fpto,55,1,0.5,0,0,70,,999.2181031110949,15.847731675315316,128.91651839699796,,,,1030.9153591826753,22.470384689033022,131.15775648992476,2.886341999999786,140,4.0,556.8356000021595,12.382599999909871,0,0,59.61392575868905,25.898129092711827,53.40903716255641,145.9968985430985,0.0,0.0,0.3433284624164508,7.63351426669631,cpu,,0.1486549653927123,0.14669649632139992,,,,,0.1294165522906949,0.12792966298580485,6.143499999780033,0.0,6.239100000129838,5.694157200000518
medical_resource_allocation,fpto,55,2,1.0,0,0,70,,1009.4445694537953,12.590062733325567,127.8877555070479,,,,1042.1774652377226,21.403559027080657,130.84348724094804,2.8516950000002907,140,4.0,551.9469999981084,13.235399999757647,0,0,62.64805124519472,25.103077721080872,55.97829159819784,173.98027437150157,0.0,0.0,0.1811442263429298,7.667244331906171,cpu,,0.15027892799153267,0.14819785701287658,,,,,0.13064564110022442,0.1290699648215896,6.18049999957293,0.0,7.054900000184716,8.545852200000809
medical_resource_allocation,fpto,55,3,2.0,0,0,70,,1056.600985171699,3.9583197462967536,134.24647557871106,,,,1089.2482345894377,18.529056308447544,136.58030942327747,2.852847600000132,140,4.0,565.4941000002509,14.936400000806316,0,0,68.40875622479663,27.91231094809185,59.35808701770378,231.74088542794567,0.0,0.0,-0.10801091657472471,7.745985090618551,cpu,,0.1570663946120078,0.15512095112351515,,,,,0.13574536028649933,0.13428979101507815,6.301000000348722,0.0,8.635400000457594,11.39869980000094
medical_resource_allocation,saa,55,0,0.0,0,0,0,,1926.5199407395512,50.54844145131651,250.3027963738114,,,,1916.3730807144366,61.11844742593759,246.21477311526388,2.5299999833805487e-05,0,4.0,0.0,12.07929999964108,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5816570881568754,cpu,,0.2763353668714236,0.2828348731071595,,,,,0.21650686335581368,0.2204764455943609,5.99679999959335,0.0,6.08250000004773,2.5299999833805487e-05
medical_resource_allocation,wdro,55,0,0.0,0,0,70,,1000.4034552990461,19.86719972749738,132.32611788339884,,,,1030.0880363018541,24.139735002975705,133.51988545550066,5.001764900000126,140,4.0,543.2184000028428,11.478700000225217,0,0,56.00052225318095,23.07309304219212,50.92774563962798,120.25068139979665,0.0,0.0,0.0,7.596447332980908,cpu,,0.14853566786443165,0.14687051940238488,,,,,0.12932612544860397,0.1280619886183112,6.447500000831496,0.0,5.031199999393721,5.001764900000126
medical_resource_allocation,fdfl,55,0,0.0,0,0,70,,825.5347741955447,58.85779715719853,266.98398271802927,,,,921.0004664621565,70.81689380798818,262.1555080008989,3.6619826999994984,140,4.0,1173.5195999990538,12.745999999424384,0,0,328.4769969401753,97.19895594584753,235.2596573551557,2069.852381146725,0.0,0.016844628843530243,0.0,7.461109309330146,cpu,,0.13280556085336534,0.12119782316684066,,,,,0.11723597185850697,0.10809673428058889,6.287399999564514,0.0,6.458599999859871,3.6619826999994984
medical_resource_allocation,fdfl,55,1,0.5,0,0,70,,827.3735771695947,29.289461842130773,175.32828241982307,,,,918.5017762980806,37.51983458556796,174.18127702744084,3.765264399999978,140,4.0,1207.3031000045376,14.82639999994717,0,0,314.1743783915459,109.10124822927118,213.49801283760115,2056.834147224692,0.0,-0.061159701450952196,0.0,7.694950748039386,cpu,,0.13244525707424393,0.12146778019912283,,,,,0.11695510776072837,0.10831143109395043,6.280399999923247,0.0,8.546000000023923,7.427247099999477
medical_resource_allocation,fdfl,55,2,1.0,0,0,70,,823.9798374516504,23.802785109259858,147.86810262928,,,,910.7175401120439,31.205279549877964,148.39841340819632,3.768003099999987,140,4.0,1184.6123000013904,13.599599999906786,0,0,310.8729615237266,133.18523313727786,220.13690349592366,2034.6935974309547,0.0,-0.07148075040226173,0.0,7.805641311002923,cpu,,0.13132279309062322,0.12096954090131674,,,,,0.11607897754085449,0.10791510071188112,6.370099999912782,0.0,7.229499999994005,11.195250199999464
medical_resource_allocation,fdfl,55,3,2.0,0,0,70,,835.131337920845,20.53841971084744,138.78937569384382,,,,916.7464214581196,29.609531498966,139.9781787053624,3.797039699999914,140,4.0,1234.0065999987928,22.538700000950485,0,0,310.057190458396,139.31180553340005,240.3895547132028,2000.228541696445,0.0,-0.013894015161453714,0.0,7.869932168588952,cpu,,0.1321921400645282,0.12260670704398761,,,,,0.116757691019648,0.10921608277829704,10.995000000548316,0.0,11.543700000402168,14.992289899999378
